insee_code,name,postal_code,lat,lon
38186,Gresse-en-Vercors,38650,44.878300,5.528400
26146,Grignan,26230,44.439500,4.903200
57259,Grindorff-Bizing,57480,49.383000,6.512800
01179,Grièges,01290,46.266900,4.847500
74138,Gruffy,74540,45.781000,6.064300
11170,Gruissan,11430,43.104200,3.087100
29066,Guengat,29180,48.041400,-4.188200
77220,Guercheville,77760,48.262000,2.556900
80397,Gueudecourt,80360,50.058600,2.842900
56078,Guidel,56520,47.793800,-3.490600
35176,Guipry-Messac,35480,47.825700,-1.831800
31235,Guran,31440,42.884000,0.604600
44067,Guémené-Penfao,44290,47.641200,-1.822300
17172,Gémozac,17260,45.561600,-0.690100
88196,Gérardmer,88400,48.065800,6.853100
74140,Habère-Poche,74420,46.254300,6.471900
08210,Hannogne-Saint-Rémy,08220,49.605300,4.142100
08212,Harcy,08150,49.847500,4.556900
52237,Harréville-les-Chanteurs,52150,48.267100,5.618000
32153,Haulies,32550,43.557000,0.668500
61202,Hauterive,61250,48.480700,0.205700
57312,Helstroff,57220,49.154900,6.485700
14326,Hermival-les-Vaux,14100,49.165700,0.297900
14335,Hotot-en-Auge,14430,49.176300,-0.081400
25309,Houtaud,25300,46.915000,6.302100
80444,Huchenneville,80132,50.049800,1.802500
41104,Huisseau-sur-Cosson,41350,47.600100,1.458000
25313,Hyèvre-Paroisse,25110,47.374900,6.429700
67217,Ichtratzheim,67640,48.478600,7.679000
45170,Intville-la-Guétard,45300,48.254100,2.217700
71239,Issy-l'Évêque,71760,46.713300,4.010000
91318,Janville-sur-Juine,91510,48.499100,2.249300
16168,Jauldes,16560,45.780000,0.252700
86115,Jaunay-Marigny,86130,46.727400,0.364200
24214,Javerlhac-et-la-Chapelle-Saint-Robert,24300,45.558700,0.553300
54277,Jeandelize,54800,49.173200,5.798700
34121,Joncels,34650,43.769100,3.183400
60326,Jonquières,60680,49.399700,2.733200
54282,Joppécourt,54620,49.388200,5.804000
23101,Jouillat,23220,46.269400,1.935000
86118,Journet,86290,46.475300,0.966600
53122,Jublains,53160,48.244200,-0.494100
30136,Junas,30250,43.758900,4.120400
70292,Jussey,70500,47.822000,5.892100
56092,Kerfourn,56920,48.046600,-2.840200
24020,La Bachellerie,24210,45.131300,1.161200
85046,La Chaize-le-Vicomte,85310,46.667100,-1.283300
79070,La Chapelle-Bâton,79220,46.466200,-0.324400
72065,La Chapelle-Saint-Aubin,72650,48.034600,0.156800
23051,La Chapelle-Saint-Martial,23250,46.024500,1.926100
18047,La Chapelle-d'Angillon,18380,47.370500,2.441600
04062,La Condamine-Châtelard,04530,44.467800,6.705400
05063,La Grave,05320,45.061000,6.288600
50041,La Hague,50440,49.654600,-1.821400
60311,La Hérelle,60120,49.599800,2.419600
61241,La Madeleine-Bouvet,61110,48.471200,0.895200
41127,La Marolle-en-Sologne,41210,47.580800,1.793300
83074,La Martre,83840,43.763100,6.591400
04144,La Palud-sur-Verdon,04120,43.801000,6.323000
73150,La Plagne Tarentaise,73210,45.568400,6.703000
87120,La Porcherie,87380,45.579200,1.541600
70425,La Proiselière-et-Langle,70310,47.811700,6.492000
39460,La Rixouse,39200,46.468200,5.871100
84101,La Roque-sur-Pernes,84210,43.978200,5.104000
83126,La Seyne-sur-Mer,83500,43.083700,5.878900
38407,La Sure en Chartreuse,38134,45.336100,5.674400
34317,La Vacquerie-et-Saint-Martin-de-Castries,34520,43.793900,3.482700
